system	mode	subset	examples	verbatim_wer_percent	normalized_wer_percent	filler_f1	filler_precision	filler_recall	repetition_f1	fragment_f1	small_form_f1	unclear_reference_units_masked
base_large_v3	standard	all_100	100	19.546994827893705	15.057771151695862	0.09448818897637795	1.0	0.049586776859504134	0.24	0.0	0.25	12
base_large_v3	standard	analysis_57	57	16.06022584692597	12.11038961038961	0.1167883211678832	1.0	0.06201550387596899	0.375	0.0	0.33333333333333337	1
crisperwhisper2_large	crisper_verbatim	all_100	100	16.247547708221866	15.635482668654491	0.8577319587628867	0.8559670781893004	0.859504132231405	0.7659574468085107	0.14285714285714285	0.7142857142857143	12
crisperwhisper2_large	crisper_verbatim	analysis_57	57	13.111668757841906	12.435064935064934	0.8593155893536122	0.8432835820895522	0.875968992248062	0.7241379310344828	0.18181818181818182	0.888888888888889	1
dual_policy_large_v3_lora	ovw_verbatim	all_100	100	14.071696094168004	13.045098770033544	0.8101265822784811	0.8275862068965517	0.7933884297520661	0.8148148148148148	0.22727272727272727	0.6666666666666666	12
dual_policy_large_v3_lora	ovw_verbatim	analysis_57	57	12.170639899623588	11.071428571428571	0.842911877394636	0.8333333333333334	0.8527131782945736	0.8	0.26666666666666666	0.8000000000000002	1
verbatim_only_large_v3_full	standard	all_100	100	13.8398430533262	12.430115542303392	0.7926829268292683	0.78	0.8057851239669421	0.7297297297297298	0.18181818181818182	0.7142857142857143	12
verbatim_only_large_v3_full	standard	analysis_57	57	11.386449184441656	10.194805194805195	0.8191881918819188	0.7816901408450704	0.8604651162790697	0.7096774193548386	0.14285714285714288	0.888888888888889	1
